county_x,staffed_all_beds,staffed_icu_beds,licensed_all_beds,all_bed_occupancy_rate,icu_bed_occupancy_rate,population,population_20,population_65,staffed_all_beds_[per_1000_people],staffed_all_beds_[per_1000_adults_20+],staffed_all_beds_[per_1000_elderly_65+],staffed_icu_beds_[per_1000_people],staffed_icu_beds_[per_1000_adults_20+],staffed_icu_beds_[per_1000_elderly_65+],licensed_all_beds_per_1000_people,licensed_all_beds_[per_1000_adults_20+],licensed_all_beds_[per_1000_elderly_65+],state,cases,deaths
Androscoggin,361.0,54.0,483.0,0.48,0.55,107679.0,81625.0,19091.0,3.353,4.423,18.909000000000002,0.501,0.662,2.8289999999999997,4.486000000000001,5.917000000000001,25.3,Maine,36.0,1.0
Angelina,367.0,39.0,465.0,0.5,0.5,87092.0,62636.0,14218.0,4.2139999999999995,5.859,25.811999999999998,0.44799999999999995,0.623,2.7430000000000003,5.3389999999999995,7.4239999999999995,32.705,Texas,30.0,0.0
Anne Arundel,651.0,50.0,664.0,0.78,0.6,576031.0,434618.0,84550.0,1.13,1.4980000000000002,7.7,0.087,0.115,0.591,1.153,1.528,7.853,Maryland,1190.0,49.0
Anoka,466.0,35.0,821.0,0.74,0.7,353813.0,261925.0,49712.0,1.317,1.7790000000000001,9.374,0.099,0.134,0.7040000000000001,2.32,3.134,16.515,Minnesota,105.0,2.0
Anson,15.0,0.0,15.0,0.13,0.0,24877.0,19475.0,4594.0,0.603,0.77,3.265,0.0,0.0,0.0,0.603,0.77,3.265,North Carolina,18.0,0.0
Antelope,23.0,0.0,23.0,0.12,0.0,6336.0,4692.0,1493.0,3.63,4.902,15.405,0.0,0.0,0.0,3.63,4.902,15.405,Nebraska,1.0,0.0
Apache,162.0,0.0,162.0,0.3,0.0,71818.0,50183.0,10986.0,2.256,3.228,14.745999999999999,0.0,0.0,0.0,2.256,3.228,14.745999999999999,Arizona,235.0,5.0
Appanoose,25.0,3.0,45.0,0.15,0.0,12437.0,9422.0,2823.0,2.01,2.653,8.856,0.24100000000000002,0.318,1.063,3.6180000000000003,4.776,15.94,Iowa,2.0,2.0
Appling,34.0,3.0,49.0,0.21,0.0,18507.0,13512.0,3189.0,1.837,2.516,10.662,0.162,0.222,0.941,2.648,3.6260000000000003,15.365,Georgia,47.0,2.0
Arapahoe,1146.0,127.0,1327.0,0.73,0.65,651215.0,483909.0,85065.0,1.76,2.3680000000000003,13.472000000000001,0.195,0.262,1.493,2.0380000000000003,2.742,15.6,Colorado,1717.0,96.0
